# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000218345.1	PRJNA224116	SAMN02463792	ACWI00000000.1	na	817	817	Bacteroides fragilis	strain=2_1_56FAA		suppressed	Scaffold	Major	Full	2011/06/15	Bacteroides_sp_2_1_56FAA_V1	Broad Institute	GCA_000218345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/345/GCF_000218345.1_Bacteroides_sp_2_1_56FAA_V1	many frameshifted proteins	
GCF_000699685.1	PRJNA224116	SAMN02370949	JNHH00000000.1	na	1339286	817	Bacteroides fragilis str. 3725 D9 ii	strain=3725 D9 ii		suppressed	Contig	Major	Full	2014/06/09	ASM69968v1	IGS	GCA_000699685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/685/GCF_000699685.1_ASM69968v1	genome length too large	
GCF_000508905.1	PRJNA224116	SAMD00008809	BAHR00000000.2	na	1232440	154046	Hungatella hathewayi VE202-04	strain=VE202-04		suppressed	Contig	Major	Full	2013/07/16	ASM50890v1	The University of Tokyo	GCA_000508905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/905/GCF_000508905.1_ASM50890v1	contaminated	
GCF_001051015.1	PRJNA224116	SAMEA3158508	CDPT00000000.1	na	1682	216816	Bifidobacterium longum subsp. infantis	strain=CECT 7210		replaced	Contig	Major	Full	2015/01/28	ASM105101v1	Ordesa	GCA_001051015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/015/GCF_001051015.1_ASM105101v1		
GCF_001688765.1	PRJNA224116	SAMN04621615		na	239935	239935	Akkermansia muciniphila	strain=YL44		suppressed	Complete Genome	Major	Full	2016/07/20	ASM168876v1	University of Bern	GCA_001688765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/765/GCF_001688765.1_ASM168876v1		
GCF_000285855.1	PRJNA224116	SAMEA2272026	CAHL00000000.1	na	1095771	1095771	Ruminococcus sp. JC304		JC304	suppressed	Scaffold	Major	Full	2012/08/16	ASM28585v2	URMITE CNRS UMR 6236 IRD 198	GCA_000285855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/855/GCF_000285855.1_ASM28585v2	contaminated	
GCF_001517625.1	PRJNA224116	SAMEA3725798	FCEY00000000.1	na	1720194	1720194	Clostridium sp. AT4	strain=AT5		replaced	Contig	Major	Full	2016/01/15	Clostridium bouchedurhonense	URMITE	GCA_001517625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/517/625/GCF_001517625.1_Clostridium_bouchedurhonense		
GCF_900078295.1	PRJNA224116	SAMEA3905751	FJVH00000000.1	na	1805476	1805476	Blautia sp. Marseille-P2398	strain=Marseille-P2398		replaced	Contig	Major	Full	2016/03/24	PRJEB13136	URMITE	GCA_900078295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/295/GCF_900078295.1_PRJEB13136		
GCF_000157115.2	PRJNA224116	SAMN02463704	ACAC00000000.2	na	562	562	Escherichia coli	strain=3_2_53FAA		latest	Scaffold	Major	Full	2015/07/15	Escherichia_sp_3_2_53FAA_V2	Broad Institute	GCA_000157115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/115/GCF_000157115.2_Escherichia_sp_3_2_53FAA_V2		
GCF_001059815.1	PRJNA224116	SAMN03198109	JUOR00000000.1	na	729	729	Haemophilus parainfluenzae	strain=901_HPAR		latest	Contig	Major	Full	2015/07/10	ASM105981v1	University of Washington	GCA_001059815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/059/815/GCF_001059815.1_ASM105981v1		
